                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
v_subj(HC.neutral).54             5.07945    0.404153     4.33038    4.79797    5.07051     5.34681    5.89548    0.0153356
v_subj(HC.neutral).55             6.66374    0.542878     5.65468    6.28587    6.65713     7.02315    7.74461    0.0254416
v_subj(HC.neutral).56             5.12083    0.470969     4.20249    4.79936    5.12278     5.44296    6.01724    0.0155908
v_subj(HC.neutral).57             3.63898    0.288907     3.08989    3.44824    3.63346     3.82513    4.23858      0.00922
v_subj(HC.neutral).58             10.4192    0.840687     8.71868    9.87292    10.4194     10.9765    12.0761        0.051
v_subj(HC.neutral).59             10.0293    0.756202     8.57541    9.51379    10.0249     10.5147    11.5998    0.0402018
v_subj(HC.neutral).60             4.10088    0.303541     3.50677    3.89707    4.10454     4.30606    4.69859   0.00928328
v_subj(HC.neutral).61             6.70951    0.637069     5.57789    6.25847    6.66629     7.12051    8.08945    0.0272913
v_subj(HC.neutral).62             6.71509    0.562647     5.62707    6.33819    6.69837     7.07934    7.86984    0.0261511
t(DDA.hoarding)                  0.301369   0.0256175    0.250276   0.284089    0.30149    0.318828   0.351027  0.000449136
t(DDA.neutral)                   0.154242   0.0289069   0.0968389   0.135035   0.154175    0.174081   0.212944   0.00118408
t(HC.hoarding)                   0.241529   0.0121339    0.218847   0.233423   0.241208    0.249129   0.266844  0.000251411
t(HC.neutral)                    0.139214   0.0124963    0.115292   0.130599   0.139027    0.147334   0.164784   0.00042471
t_std                            0.081536  0.00779755   0.0682969  0.0758522  0.0809337   0.0864411  0.0982327  0.000265518
t_subj(DDA.hoarding).1           0.248279  0.00443283    0.238032    0.24583   0.248658    0.251135   0.255789  0.000129757
t_subj(DDA.hoarding).2           0.389172   0.0167877     0.35306   0.379032   0.390144    0.400369   0.419536  0.000347602
t_subj(DDA.hoarding).3           0.199589  0.00902354    0.180179   0.194155   0.200331    0.205822   0.215022  0.000208767
t_subj(DDA.hoarding).4           0.299622   0.0142164    0.270424   0.290885   0.300146    0.309303   0.325122   0.00030463
t_subj(DDA.hoarding).5           0.293907   0.0131499    0.268549   0.285278   0.293615     0.30201   0.320969  0.000283405
t_subj(DDA.hoarding).6           0.306405   0.0103054    0.285321   0.300146   0.306728    0.312705    0.32797  0.000207531
t_subj(DDA.hoarding).7           0.278523   0.0423681    0.197047    0.24836   0.280796    0.311208   0.357115   0.00113781
t_subj(DDA.hoarding).8            0.24915   0.0134536    0.219493   0.240996   0.249866    0.258062   0.273932  0.000269251
t_subj(DDA.hoarding).9           0.373073   0.0169001    0.337438   0.362484   0.374124    0.384003   0.403826  0.000381337
t_subj(DDA.neutral).1            0.226981   0.0211889    0.170538   0.216569   0.230563    0.241428    0.25802   0.00152775
t_subj(DDA.neutral).2            0.182828   0.0436533   0.0916961   0.155072   0.184056    0.213015   0.263474   0.00243445
t_subj(DDA.neutral).3           0.0749472   0.0272484   0.0219637  0.0553802  0.0757152   0.0940034   0.126195   0.00111725
t_subj(DDA.neutral).4           0.0767047   0.0302668   0.0206087  0.0556228  0.0756204   0.0975636   0.137731   0.00129863
t_subj(DDA.neutral).5            0.454597   0.0982771    0.250068   0.381035   0.473659    0.535816   0.596009   0.00786814
t_subj(DDA.neutral).6            0.153257   0.0308842    0.089146   0.132819    0.15324    0.174525   0.212216   0.00197545
t_subj(DDA.neutral).7           0.0744403    0.026537   0.0213743  0.0560955  0.0749137   0.0935049   0.124075   0.00134837
t_subj(DDA.neutral).8           0.0974426   0.0363544   0.0278445   0.071835  0.0976282    0.122322   0.168549   0.00163605
t_subj(DDA.neutral).9             0.27471   0.0642847     0.14161   0.233391   0.278663    0.320036   0.390293   0.00375245
t_subj(HC.hoarding).10           0.330587   0.0136713    0.300726   0.322672   0.331946    0.340051   0.352989  0.000299182
t_subj(HC.hoarding).11           0.315001   0.0139649    0.285383    0.30595    0.31596    0.325085   0.339739  0.000333825
t_subj(HC.hoarding).12           0.584252  0.00867131    0.570503   0.579654   0.583734     0.58733   0.616081  0.000353276
t_subj(HC.hoarding).13           0.163106   0.0102281    0.141348   0.156911   0.163741    0.170326   0.180946  0.000232972
t_subj(HC.hoarding).14           0.302124   0.0142092    0.272816   0.293521   0.302424    0.310561   0.329183  0.000335893
t_subj(HC.hoarding).15           0.281577  0.00738968    0.265752   0.277194    0.28192    0.286845   0.294959  0.000175963
t_subj(HC.hoarding).16           0.191454   0.0128808    0.165631   0.184449   0.192874    0.200159   0.217141  0.000411006
t_subj(HC.hoarding).17           0.215596  0.00615777    0.204384   0.211235   0.214973    0.220282   0.227228  0.000163508
t_subj(HC.hoarding).18           0.298166  0.00985296    0.278874   0.292137   0.298187    0.304382   0.318275  0.000274283
t_subj(HC.hoarding).19           0.243912    0.012934    0.206231   0.238787   0.246059    0.252187   0.261905  0.000391166
t_subj(HC.hoarding).20           0.266415   0.0224562    0.220843   0.249287   0.269538    0.284205   0.302438  0.000620042
t_subj(HC.hoarding).21           0.349795   0.0222702    0.295951   0.337731   0.351822    0.364191   0.389434  0.000486361
t_subj(HC.hoarding).22           0.251615  0.00797811    0.236919   0.246431   0.250776    0.256662   0.267842  0.000163105
t_subj(HC.hoarding).23           0.230753   0.0125422    0.203547   0.222957   0.231722    0.239943   0.251799  0.000749774
